instance_id,application,infra_size,dataset_seed,n_tasks,n_candidates,n_pools,n_features,n_constraints_local,n_constraints_global,n_constraints_dependency,n_resource_capacity,n_transitions,n_budget_constraints,log10_binding_space,global_budget
arOrch_146588263_infrastructure_65,arOrch,65,146588263,7,743,71,34,18,1,0,2,10,8,12.908,195.12318575
arOrch_146588263_infrastructure_70,arOrch,70,146588263,7,474,76,29,18,1,0,2,9,8,12.357,192.13665521
arOrch_146588263_infrastructure_75,arOrch,75,146588263,7,801,81,35,18,1,0,2,14,8,13.367,183.67015201
arOrch_146588263_infrastructure_80,arOrch,80,146588263,7,711,86,29,18,1,0,2,13,8,13.338,195.66467166
arOrch_146588263_infrastructure_85,arOrch,85,146588263,7,1034,91,34,18,1,0,2,11,8,13.718,218.00994019
arOrch_146588263_infrastructure_90,arOrch,90,146588263,7,894,96,34,18,1,0,2,10,8,13.837,184.5911436
arOrch_146588263_infrastructure_95,arOrch,95,146588263,7,1016,101,35,18,1,0,2,13,8,13.9,179.34255895
mediaOrch_146588263_infrastructure_100,mediaOrch,100,146588263,5,650,106,30,12,1,0,2,6,6,10.505,27.82513157
mediaOrch_146588263_infrastructure_105,mediaOrch,105,146588263,5,793,111,30,12,1,0,2,7,6,10.838,27.80527087
mediaOrch_146588263_infrastructure_110,mediaOrch,110,146588263,5,882,116,35,12,1,0,2,9,6,11.032,28.97227917
mediaOrch_146588263_infrastructure_115,mediaOrch,115,146588263,5,966,121,32,12,1,0,2,8,6,11.17,27.54397509
mediaOrch_146588263_infrastructure_120,mediaOrch,120,146588263,5,996,126,33,12,1,0,2,10,6,11.267,29.33534266
mediaOrch_146588263_infrastructure_125,mediaOrch,125,146588263,5,987,131,31,12,1,0,2,10,6,11.194,29.03471718
mediaOrch_146588263_infrastructure_130,mediaOrch,130,146588263,5,827,136,29,12,1,0,2,8,6,11.023,28.77666908
mediaOrch_146588263_infrastructure_135,mediaOrch,135,146588263,5,1043,141,35,12,1,0,2,14,6,11.336,27.13285614
mediaOrch_146588263_infrastructure_140,mediaOrch,140,146588263,5,1041,146,35,12,1,0,2,12,6,11.399,29.59893531
mediaOrch_146588263_infrastructure_145,mediaOrch,145,146588263,5,1095,151,33,12,1,0,2,7,6,11.51,30.54227851
mediaOrch_146588263_infrastructure_150,mediaOrch,150,146588263,5,913,156,32,12,1,0,2,11,6,11.224,29.73625295
mediaOrch_146588263_infrastructure_155,mediaOrch,155,146588263,5,1215,161,36,12,1,0,2,9,6,11.696,28.8174973
mediaOrch_146588263_infrastructure_160,mediaOrch,160,146588263,5,1212,166,32,12,1,0,2,15,6,11.693,29.7120451
mediaOrch_146588263_infrastructure_165,mediaOrch,165,146588263,5,1042,171,31,12,1,0,2,21,6,11.522,28.69788748
mediaOrch_146588263_infrastructure_170,mediaOrch,170,146588263,5,1330,176,32,12,1,0,2,13,6,11.743,30.22415356
mediaOrch_146588263_infrastructure_175,mediaOrch,175,146588263,5,1296,181,34,12,1,0,2,9,6,11.739,31.06076058
mediaOrch_146588263_infrastructure_180,mediaOrch,180,146588263,5,1094,186,29,12,1,0,2,16,6,11.633,29.61090589
mediaOrch_146588263_infrastructure_185,mediaOrch,185,146588263,5,1383,191,32,12,1,0,2,18,6,11.905,30.84994607
mediaOrch_146588263_infrastructure_190,mediaOrch,190,146588263,5,1350,196,35,12,1,0,2,14,6,11.914,29.74174389
mediaOrch_146588263_infrastructure_195,mediaOrch,195,146588263,5,1142,201,31,12,1,0,2,11,6,11.715,28.9288857
mediaOrch_146588263_infrastructure_200,mediaOrch,200,146588263,5,1520,206,34,12,1,0,2,11,6,12.069,30.32583279
mediaOrch_146588263_infrastructure_205,mediaOrch,205,146588263,5,1613,211,37,12,1,0,2,14,6,12.239,30.45487246
mediaOrch_146588263_infrastructure_210,mediaOrch,210,146588263,5,1387,216,28,12,1,0,2,12,6,12.007,30.99282176
mediaOrch_146588263_infrastructure_215,mediaOrch,215,146588263,5,1376,221,36,12,1,0,2,15,6,12.015,30.62128147
mediaOrch_146588263_infrastructure_220,mediaOrch,220,146588263,5,1575,226,31,12,1,0,2,13,6,12.234,29.38040418
mediaOrch_146588263_infrastructure_50,mediaOrch,50,146588263,5,540,56,35,12,1,0,2,5,6,9.936,25.21124166
mediaOrch_146588263_infrastructure_55,mediaOrch,55,146588263,5,499,61,32,12,1,0,2,6,6,9.844,21.87257418
mediaOrch_146588263_infrastructure_60,mediaOrch,60,146588263,5,527,66,33,12,1,0,2,7,6,9.959,25.12948088
mediaOrch_146588263_infrastructure_65,mediaOrch,65,146588263,5,508,71,34,12,1,0,2,6,6,9.986,23.87652252
mediaOrch_146588263_infrastructure_70,mediaOrch,70,146588263,5,496,76,29,12,1,0,2,5,6,9.968,24.67980149
mediaOrch_146588263_infrastructure_75,mediaOrch,75,146588263,5,726,81,35,12,1,0,2,10,6,10.501,25.45276638
mediaOrch_146588263_infrastructure_80,mediaOrch,80,146588263,5,701,86,29,12,1,0,2,9,6,10.475,26.06561659
mediaOrch_146588263_infrastructure_85,mediaOrch,85,146588263,5,744,91,34,12,1,0,2,7,6,10.585,28.3842222
mediaOrch_146588263_infrastructure_90,mediaOrch,90,146588263,5,729,96,34,12,1,0,2,6,6,10.539,22.46087502
mediaOrch_146588263_infrastructure_95,mediaOrch,95,146588263,5,792,101,35,12,1,0,2,9,6,10.824,28.13194131
stockOrch_146588263_infrastructure_100,stockOrch,100,146588263,5,388,106,30,12,1,0,2,7,6,9.306,108.37752915
stockOrch_146588263_infrastructure_105,stockOrch,105,146588263,5,634,111,30,12,1,0,2,8,6,10.061,110.34343856
stockOrch_146588263_infrastructure_110,stockOrch,110,146588263,5,653,116,35,12,1,0,2,10,6,10.114,105.84504191
stockOrch_146588263_infrastructure_115,stockOrch,115,146588263,5,473,121,32,12,1,0,2,9,6,9.699,108.85776325
stockOrch_146588263_infrastructure_120,stockOrch,120,146588263,5,617,126,33,12,1,0,2,11,6,10.158,104.27155262
stockOrch_146588263_infrastructure_125,stockOrch,125,146588263,5,468,131,31,12,1,0,2,11,6,9.718,106.67537824
stockOrch_146588263_infrastructure_130,stockOrch,130,146588263,5,650,136,29,12,1,0,2,9,6,10.248,109.04728932
stockOrch_146588263_infrastructure_135,stockOrch,135,146588263,5,766,141,35,12,1,0,2,15,6,10.374,107.04608398
stockOrch_146588263_infrastructure_140,stockOrch,140,146588263,5,799,146,35,12,1,0,2,13,6,10.499,101.14726473
stockOrch_146588263_infrastructure_145,stockOrch,145,146588263,5,698,151,33,12,1,0,2,8,6,10.363,102.41373551
stockOrch_146588263_infrastructure_150,stockOrch,150,146588263,5,714,156,32,12,1,0,2,12,6,10.455,105.74356047
stockOrch_146588263_infrastructure_155,stockOrch,155,146588263,5,775,161,36,12,1,0,2,10,6,10.606,104.68108971
stockOrch_146588263_infrastructure_160,stockOrch,160,146588263,5,767,166,32,12,1,0,2,16,6,10.602,100.18045849
stockOrch_146588263_infrastructure_165,stockOrch,165,146588263,5,658,171,31,12,1,0,2,22,6,10.387,109.68966875
stockOrch_146588263_infrastructure_170,stockOrch,170,146588263,5,788,176,32,12,1,0,2,14,6,10.664,110.93829737
stockOrch_146588263_infrastructure_175,stockOrch,175,146588263,5,803,181,34,12,1,0,2,10,6,10.683,104.1076285
stockOrch_146588263_infrastructure_180,stockOrch,180,146588263,5,884,186,29,12,1,0,2,17,6,10.863,105.57776109
stockOrch_146588263_infrastructure_185,stockOrch,185,146588263,5,866,191,32,12,1,0,2,19,6,10.822,107.23557917
stockOrch_146588263_infrastructure_190,stockOrch,190,146588263,5,1039,196,35,12,1,0,2,15,6,11.065,104.82984525
stockOrch_146588263_infrastructure_195,stockOrch,195,146588263,5,713,201,31,12,1,0,2,12,6,10.564,99.82297022
stockOrch_146588263_infrastructure_200,stockOrch,200,146588263,5,745,206,34,12,1,0,2,12,6,10.684,100.44709688
stockOrch_146588263_infrastructure_205,stockOrch,205,146588263,5,1259,211,37,12,1,0,2,15,6,11.462,105.52136015
stockOrch_146588263_infrastructure_210,stockOrch,210,146588263,5,759,216,28,12,1,0,2,13,6,10.713,105.77272455
stockOrch_146588263_infrastructure_215,stockOrch,215,146588263,5,1199,221,36,12,1,0,2,16,6,11.341,108.67153705
stockOrch_146588263_infrastructure_220,stockOrch,220,146588263,5,780,226,31,12,1,0,2,14,6,10.77,113.15973524
stockOrch_146588263_infrastructure_50,stockOrch,50,146588263,5,333,56,35,12,1,0,2,6,6,8.826,111.31790619
stockOrch_146588263_infrastructure_55,stockOrch,55,146588263,5,354,61,32,12,1,0,2,7,6,8.95,108.6187909
stockOrch_146588263_infrastructure_60,stockOrch,60,146588263,5,330,66,33,12,1,0,2,8,6,8.898,98.02068153
stockOrch_146588263_infrastructure_65,stockOrch,65,146588263,5,452,71,34,12,1,0,2,7,6,9.403,90.85660746
stockOrch_146588263_infrastructure_70,stockOrch,70,146588263,5,454,76,29,12,1,0,2,6,6,9.355,109.59860469
stockOrch_146588263_infrastructure_75,stockOrch,75,146588263,5,444,81,35,12,1,0,2,11,6,9.398,108.07083486
stockOrch_146588263_infrastructure_80,stockOrch,80,146588263,5,331,86,29,12,1,0,2,10,6,8.983,109.26467414
stockOrch_146588263_infrastructure_85,stockOrch,85,146588263,5,445,91,34,12,1,0,2,8,6,9.49,109.43419253
stockOrch_146588263_infrastructure_90,stockOrch,90,146588263,5,406,96,34,12,1,0,2,7,6,9.274,101.90316498
stockOrch_146588263_infrastructure_95,stockOrch,95,146588263,5,389,101,35,12,1,0,2,10,6,9.276,104.24041368
