dataset_seed,infrastructure,node_id,kind,memory_mb,vcpu,mhz,node_monthly_cost,generator_seed
146588263,infrastructure_50,edge30,edge,512,2,1500,19.50602648,12345
146588263,infrastructure_50,edge31,edge,1024,4,2500,26.75036973,12345
146588263,infrastructure_50,fog1,fog,4096,4,2000,76.22292978,12345
146588263,infrastructure_50,fog2,fog,4096,4,2000,35.57114344,12345
146588263,infrastructure_50,fog3,fog,3500,16,2000,101.49857949,12345
146588263,infrastructure_50,fog4,fog,3500,16,2000,111.84508162,12345
146588263,infrastructure_50,fog5,fog,3500,16,2000,83.93669751,12345
146588263,infrastructure_50,fog6,fog,2048,2,2000,25.00677809,12345
146588263,infrastructure_50,fog7,fog,3500,16,2000,98.05821584,12345
146588263,infrastructure_50,fog8,fog,2048,4,1500,64.06971449,12345
146588263,infrastructure_50,fog9,fog,3500,16,2000,86.93404548,12345
146588263,infrastructure_50,fog10,fog,3500,16,2000,123.27906207,12345
146588263,infrastructure_50,fog11,fog,2048,2,2000,58.58999931,12345
146588263,infrastructure_50,fog12,fog,4096,4,2000,66.83536108,12345
146588263,infrastructure_50,fog13,fog,3500,16,2000,103.54030902,12345
146588263,infrastructure_50,fog14,fog,2048,4,1500,55.80115805,12345
146588263,infrastructure_50,fog15,fog,2048,4,1500,82.55854999,12345
146588263,infrastructure_50,fog16,fog,4096,4,2000,58.22121925,12345
146588263,infrastructure_50,cloud1,cloud,inf,inf,inf,106.06338892,12345
146588263,infrastructure_50,cloud2,cloud,inf,inf,inf,137.45563725,12345
146588263,infrastructure_50,cloud3,cloud,inf,inf,inf,31.71105885,12345
146588263,infrastructure_55,edge1,edge,512,2,1500,11.81494495,12345
146588263,infrastructure_55,edge2,edge,1024,4,2500,24.34919442,12345
146588263,infrastructure_55,edge3,edge,1024,4,2500,19.2499325,12345
146588263,infrastructure_55,edge4,edge,1024,4,3000,19.79503112,12345
146588263,infrastructure_55,edge5,edge,1024,4,3000,28.91638017,12345
146588263,infrastructure_55,edge6,edge,1024,4,2500,18.75135847,12345
146588263,infrastructure_55,edge7,edge,1024,4,3000,17.60219858,12345
146588263,infrastructure_55,edge8,edge,1024,4,2500,20.12252257,12345
146588263,infrastructure_55,edge9,edge,1024,4,2500,23.22699446,12345
146588263,infrastructure_55,edge10,edge,1024,4,2500,22.03347574,12345
146588263,infrastructure_55,edge11,edge,1024,4,2500,21.83381663,12345
146588263,infrastructure_55,edge12,edge,1024,4,2500,20.4063996,12345
146588263,infrastructure_55,edge13,edge,1024,4,2500,21.63694807,12345
146588263,infrastructure_55,edge14,edge,1024,4,3000,25.5795458,12345
146588263,infrastructure_55,edge15,edge,512,2,1500,14.62841807,12345
146588263,infrastructure_55,edge16,edge,1024,4,3000,21.31466861,12345
146588263,infrastructure_55,edge17,edge,1024,4,2500,20.20907176,12345
146588263,infrastructure_55,edge18,edge,1024,4,3000,21.52825516,12345
146588263,infrastructure_55,edge19,edge,1024,4,3000,23.6314427,12345
146588263,infrastructure_55,edge20,edge,1024,4,2500,21.66031759,12345
146588263,infrastructure_55,edge21,edge,1024,4,3000,22.43330902,12345
146588263,infrastructure_55,edge22,edge,1024,4,3000,23.60635358,12345
146588263,infrastructure_55,edge23,edge,1024,4,2500,24.50709209,12345
146588263,infrastructure_55,edge24,edge,1024,4,3000,26.51825691,12345
146588263,infrastructure_55,edge25,edge,1024,4,2500,16.69890035,12345
146588263,infrastructure_55,edge26,edge,1024,4,2500,23.7960261,12345
146588263,infrastructure_55,edge27,edge,512,2,1500,15.29772744,12345
146588263,infrastructure_55,edge28,edge,512,2,1500,9.8642923,12345
146588263,infrastructure_55,edge29,edge,512,2,1500,13.23803906,12345
146588263,infrastructure_55,edge30,edge,1024,4,2500,26.25602648,12345
146588263,infrastructure_55,edge31,edge,1024,4,3000,27.25036973,12345
146588263,infrastructure_55,edge32,edge,1024,4,3000,21.4459766,12345
146588263,infrastructure_55,edge33,edge,1024,4,3000,24.38447739,12345
146588263,infrastructure_55,edge34,edge,1024,4,3000,25.26502757,12345
146588263,infrastructure_55,fog1,fog,1024,2,1000,65.72292978,12345
146588263,infrastructure_55,fog2,fog,4096,4,2000,35.57114344,12345
146588263,infrastructure_55,fog3,fog,2048,4,1500,68.87162637,12345
146588263,infrastructure_55,fog4,fog,2048,4,1500,79.21812849,12345
146588263,infrastructure_55,fog5,fog,2048,4,1500,51.30974439,12345
146588263,infrastructure_55,fog6,fog,2048,4,1500,29.50677809,12345
146588263,infrastructure_55,fog7,fog,2048,2,2000,60.93126272,12345
146588263,infrastructure_55,fog8,fog,3500,16,2000,96.69666762,12345
146588263,infrastructure_55,fog9,fog,2048,4,1500,54.30709235,12345
146588263,infrastructure_55,fog10,fog,3500,16,2000,123.27906207,12345
146588263,infrastructure_55,fog11,fog,2048,4,1500,63.08999931,12345
146588263,infrastructure_55,fog12,fog,4096,4,2000,66.83536108,12345
146588263,infrastructure_55,fog13,fog,2048,4,1500,70.9133559,12345
146588263,infrastructure_55,fog14,fog,1024,2,1000,48.80115805,12345
146588263,infrastructure_55,fog15,fog,3500,16,2000,115.18550311,12345
146588263,infrastructure_55,fog16,fog,2048,4,1500,54.72121925,12345
146588263,infrastructure_55,fog17,fog,4096,4,2000,47.49679571,12345
146588263,infrastructure_55,fog18,fog,2048,4,1500,43.53277659,12345
146588263,infrastructure_55,cloud1,cloud,inf,inf,inf,106.06338892,12345
146588263,infrastructure_55,cloud2,cloud,inf,inf,inf,137.45563725,12345
146588263,infrastructure_55,cloud3,cloud,inf,inf,inf,31.71105885,12345
146588263,infrastructure_60,edge1,edge,1024,4,3000,19.06494495,12345
146588263,infrastructure_60,edge2,edge,512,2,1500,17.59919442,12345
146588263,infrastructure_60,edge3,edge,1024,4,3000,19.7499325,12345
146588263,infrastructure_60,edge4,edge,1024,4,3000,19.79503112,12345
146588263,infrastructure_60,edge5,edge,1024,4,3000,28.91638017,12345
146588263,infrastructure_60,edge6,edge,1024,4,2500,18.75135847,12345
146588263,infrastructure_60,edge7,edge,512,2,1500,10.35219858,12345
146588263,infrastructure_60,edge8,edge,1024,4,2500,20.12252257,12345
146588263,infrastructure_60,edge9,edge,1024,4,2500,23.22699446,12345
146588263,infrastructure_60,edge10,edge,1024,4,3000,22.53347574,12345
146588263,infrastructure_60,edge11,edge,1024,4,2500,21.83381663,12345
146588263,infrastructure_60,edge12,edge,1024,4,3000,20.9063996,12345
146588263,infrastructure_60,edge13,edge,1024,4,3000,22.13694807,12345
146588263,infrastructure_60,edge14,edge,512,2,1500,18.3295458,12345
146588263,infrastructure_60,edge15,edge,1024,4,3000,21.87841807,12345
146588263,infrastructure_60,edge16,edge,1024,4,3000,21.31466861,12345
146588263,infrastructure_60,edge17,edge,1024,4,3000,20.70907176,12345
146588263,infrastructure_60,edge18,edge,1024,4,2500,21.02825516,12345
146588263,infrastructure_60,edge19,edge,1024,4,2500,23.1314427,12345
146588263,infrastructure_60,edge20,edge,1024,4,3000,22.16031759,12345
146588263,infrastructure_60,edge21,edge,1024,4,2500,21.93330902,12345
146588263,infrastructure_60,edge22,edge,1024,4,2500,23.10635358,12345
146588263,infrastructure_60,edge23,edge,1024,4,3000,25.00709209,12345
146588263,infrastructure_60,edge24,edge,1024,4,2500,26.01825691,12345
146588263,infrastructure_60,edge25,edge,1024,4,2500,16.69890035,12345
146588263,infrastructure_60,edge26,edge,512,2,1500,17.0460261,12345
146588263,infrastructure_60,edge27,edge,512,2,1500,15.29772744,12345
146588263,infrastructure_60,edge28,edge,1024,4,3000,17.1142923,12345
146588263,infrastructure_60,edge29,edge,1024,4,2500,19.98803906,12345
146588263,infrastructure_60,edge30,edge,1024,4,2500,26.25602648,12345
146588263,infrastructure_60,edge31,edge,1024,4,2500,26.75036973,12345
146588263,infrastructure_60,edge32,edge,512,2,1500,14.1959766,12345
146588263,infrastructure_60,edge33,edge,1024,4,2500,23.88447739,12345
146588263,infrastructure_60,edge34,edge,1024,4,3000,25.26502757,12345
146588263,infrastructure_60,edge35,edge,1024,4,2500,21.96976354,12345
146588263,infrastructure_60,edge36,edge,512,2,1500,16.41905761,12345
146588263,infrastructure_60,edge37,edge,1024,4,2500,17.2873805,12345
146588263,infrastructure_60,fog1,fog,4096,4,2000,76.22292978,12345
146588263,infrastructure_60,fog2,fog,3500,16,2000,64.69809656,12345
146588263,infrastructure_60,fog3,fog,3500,16,2000,101.49857949,12345
146588263,infrastructure_60,fog4,fog,3500,16,2000,111.84508162,12345
146588263,infrastructure_60,fog5,fog,3500,16,2000,83.93669751,12345
146588263,infrastructure_60,fog6,fog,2048,4,1500,29.50677809,12345
146588263,infrastructure_60,fog7,fog,1024,2,1000,58.43126272,12345
146588263,infrastructure_60,fog8,fog,3500,16,2000,96.69666762,12345
146588263,infrastructure_60,fog9,fog,2048,4,1500,54.30709235,12345
146588263,infrastructure_60,fog10,fog,3500,16,2000,123.27906207,12345
146588263,infrastructure_60,fog11,fog,2048,4,1500,63.08999931,12345
146588263,infrastructure_60,fog12,fog,2048,4,1500,63.33536108,12345
146588263,infrastructure_60,fog13,fog,2048,4,1500,70.9133559,12345
146588263,infrastructure_60,fog14,fog,4096,4,2000,59.30115805,12345
146588263,infrastructure_60,fog15,fog,3500,16,2000,115.18550311,12345
146588263,infrastructure_60,fog16,fog,1024,2,1000,47.72121925,12345
146588263,infrastructure_60,fog17,fog,2048,4,1500,43.99679571,12345
146588263,infrastructure_60,fog18,fog,4096,4,2000,47.03277659,12345
146588263,infrastructure_60,fog19,fog,3500,16,2000,93.2792358,12345
146588263,infrastructure_60,fog20,fog,2048,4,1500,86.1813525,12345
146588263,infrastructure_60,cloud1,cloud,inf,inf,inf,106.06338892,12345
146588263,infrastructure_60,cloud2,cloud,inf,inf,inf,137.45563725,12345
146588263,infrastructure_60,cloud3,cloud,inf,inf,inf,31.71105885,12345
146588263,infrastructure_65,edge1,edge,512,2,1500,11.81494495,12345
146588263,infrastructure_65,edge2,edge,1024,4,3000,24.84919442,12345
146588263,infrastructure_65,edge3,edge,1024,4,3000,19.7499325,12345
146588263,infrastructure_65,edge4,edge,1024,4,3000,19.79503112,12345
146588263,infrastructure_65,edge5,edge,1024,4,3000,28.91638017,12345
146588263,infrastructure_65,edge6,edge,1024,4,3000,19.25135847,12345
146588263,infrastructure_65,edge7,edge,1024,4,2500,17.10219858,12345
146588263,infrastructure_65,edge8,edge,1024,4,3000,20.62252257,12345
146588263,infrastructure_65,edge9,edge,1024,4,2500,23.22699446,12345
146588263,infrastructure_65,edge10,edge,1024,4,2500,22.03347574,12345
146588263,infrastructure_65,edge11,edge,512,2,1500,15.08381663,12345
146588263,infrastructure_65,edge12,edge,1024,4,3000,20.9063996,12345
146588263,infrastructure_65,edge13,edge,512,2,1500,14.88694807,12345
146588263,infrastructure_65,edge14,edge,1024,4,3000,25.5795458,12345
146588263,infrastructure_65,edge15,edge,512,2,1500,14.62841807,12345
146588263,infrastructure_65,edge16,edge,512,2,1500,14.06466861,12345
146588263,infrastructure_65,edge17,edge,1024,4,2500,20.20907176,12345
146588263,infrastructure_65,edge18,edge,1024,4,3000,21.52825516,12345
146588263,infrastructure_65,edge19,edge,1024,4,3000,23.6314427,12345
146588263,infrastructure_65,edge20,edge,1024,4,3000,22.16031759,12345
146588263,infrastructure_65,edge21,edge,1024,4,2500,21.93330902,12345
146588263,infrastructure_65,edge22,edge,1024,4,2500,23.10635358,12345
146588263,infrastructure_65,edge23,edge,1024,4,2500,24.50709209,12345
146588263,infrastructure_65,edge24,edge,512,2,1500,19.26825691,12345
146588263,infrastructure_65,edge25,edge,1024,4,3000,17.19890035,12345
146588263,infrastructure_65,edge26,edge,1024,4,3000,24.2960261,12345
146588263,infrastructure_65,edge27,edge,512,2,1500,15.29772744,12345
146588263,infrastructure_65,edge28,edge,1024,4,2500,16.6142923,12345
146588263,infrastructure_65,edge29,edge,1024,4,2500,19.98803906,12345
146588263,infrastructure_65,edge30,edge,1024,4,2500,26.25602648,12345
146588263,infrastructure_65,edge31,edge,1024,4,3000,27.25036973,12345
146588263,infrastructure_65,edge32,edge,1024,4,3000,21.4459766,12345
146588263,infrastructure_65,edge33,edge,1024,4,3000,24.38447739,12345
146588263,infrastructure_65,edge34,edge,1024,4,2500,24.76502757,12345
146588263,infrastructure_65,edge35,edge,1024,4,2500,21.96976354,12345
146588263,infrastructure_65,edge36,edge,1024,4,3000,23.66905761,12345
146588263,infrastructure_65,edge37,edge,1024,4,2500,17.2873805,12345
146588263,infrastructure_65,edge38,edge,512,2,1500,22.23533264,12345
146588263,infrastructure_65,edge39,edge,1024,4,3000,22.0613845,12345
146588263,infrastructure_65,edge40,edge,1024,4,3000,25.01361619,12345
146588263,infrastructure_65,edge41,edge,1024,4,3000,19.40226656,12345
146588263,infrastructure_65,fog1,fog,4096,4,2000,76.22292978,12345
146588263,infrastructure_65,fog2,fog,2048,4,1500,32.07114344,12345
146588263,infrastructure_65,fog3,fog,2048,2,2000,64.37162637,12345
146588263,infrastructure_65,fog4,fog,2048,4,1500,79.21812849,12345
146588263,infrastructure_65,fog5,fog,2048,4,1500,51.30974439,12345
146588263,infrastructure_65,fog6,fog,3500,16,2000,62.13373122,12345
146588263,infrastructure_65,fog7,fog,4096,4,2000,68.93126272,12345
146588263,infrastructure_65,fog8,fog,4096,4,2000,67.56971449,12345
146588263,infrastructure_65,fog9,fog,2048,4,1500,54.30709235,12345
146588263,infrastructure_65,fog10,fog,3500,16,2000,123.27906207,12345
146588263,infrastructure_65,fog11,fog,2048,4,1500,63.08999931,12345
146588263,infrastructure_65,fog12,fog,4096,4,2000,66.83536108,12345
146588263,infrastructure_65,fog13,fog,3500,16,2000,103.54030902,12345
146588263,infrastructure_65,fog14,fog,3500,16,2000,88.42811118,12345
146588263,infrastructure_65,fog15,fog,2048,4,1500,82.55854999,12345
146588263,infrastructure_65,fog16,fog,4096,4,2000,58.22121925,12345
146588263,infrastructure_65,fog17,fog,2048,2,2000,39.49679571,12345
146588263,infrastructure_65,fog18,fog,2048,4,1500,43.53277659,12345
146588263,infrastructure_65,fog19,fog,2048,4,1500,60.65228267,12345
146588263,infrastructure_65,fog20,fog,3500,16,2000,118.80830562,12345
146588263,infrastructure_65,fog21,fog,4096,4,2000,82.73558271,12345
146588263,infrastructure_65,cloud1,cloud,inf,inf,inf,106.06338892,12345
146588263,infrastructure_65,cloud2,cloud,inf,inf,inf,137.45563725,12345
146588263,infrastructure_65,cloud3,cloud,inf,inf,inf,31.71105885,12345
146588263,infrastructure_70,edge1,edge,1024,4,3000,19.06494495,12345
146588263,infrastructure_70,edge2,edge,1024,4,2500,24.34919442,12345
146588263,infrastructure_70,edge3,edge,512,2,1500,12.4999325,12345
146588263,infrastructure_70,edge4,edge,512,2,1500,12.54503112,12345
146588263,infrastructure_70,edge5,edge,1024,4,2500,28.41638017,12345
146588263,infrastructure_70,edge6,edge,1024,4,3000,19.25135847,12345
146588263,infrastructure_70,edge7,edge,512,2,1500,10.35219858,12345
146588263,infrastructure_70,edge8,edge,512,2,1500,13.37252257,12345
146588263,infrastructure_70,edge9,edge,1024,4,2500,23.22699446,12345
146588263,infrastructure_70,edge10,edge,1024,4,2500,22.03347574,12345
146588263,infrastructure_70,edge11,edge,1024,4,3000,22.33381663,12345
146588263,infrastructure_70,edge12,edge,1024,4,2500,20.4063996,12345
146588263,infrastructure_70,edge13,edge,512,2,1500,14.88694807,12345
146588263,infrastructure_70,edge14,edge,512,2,1500,18.3295458,12345
146588263,infrastructure_70,edge15,edge,1024,4,2500,21.37841807,12345
146588263,infrastructure_70,edge16,edge,512,2,1500,14.06466861,12345
146588263,infrastructure_70,edge17,edge,512,2,1500,13.45907176,12345
146588263,infrastructure_70,edge18,edge,1024,4,2500,21.02825516,12345
146588263,infrastructure_70,edge19,edge,1024,4,3000,23.6314427,12345
146588263,infrastructure_70,edge20,edge,1024,4,2500,21.66031759,12345
146588263,infrastructure_70,edge21,edge,512,2,1500,15.18330902,12345
146588263,infrastructure_70,edge22,edge,1024,4,2500,23.10635358,12345
146588263,infrastructure_70,edge23,edge,512,2,1500,17.75709209,12345
146588263,infrastructure_70,edge24,edge,512,2,1500,19.26825691,12345
146588263,infrastructure_70,edge25,edge,1024,4,2500,16.69890035,12345
146588263,infrastructure_70,edge26,edge,1024,4,3000,24.2960261,12345
146588263,infrastructure_70,edge27,edge,1024,4,3000,22.54772744,12345
146588263,infrastructure_70,edge28,edge,512,2,1500,9.8642923,12345
146588263,infrastructure_70,edge29,edge,1024,4,3000,20.48803906,12345
146588263,infrastructure_70,edge30,edge,1024,4,3000,26.75602648,12345
146588263,infrastructure_70,edge31,edge,512,2,1500,20.00036973,12345
146588263,infrastructure_70,edge32,edge,512,2,1500,14.1959766,12345
146588263,infrastructure_70,edge33,edge,512,2,1500,17.13447739,12345
146588263,infrastructure_70,edge34,edge,1024,4,3000,25.26502757,12345
146588263,infrastructure_70,edge35,edge,512,2,1500,15.21976354,12345
146588263,infrastructure_70,edge36,edge,1024,4,3000,23.66905761,12345
146588263,infrastructure_70,edge37,edge,512,2,1500,10.5373805,12345
146588263,infrastructure_70,edge38,edge,512,2,1500,22.23533264,12345
146588263,infrastructure_70,edge39,edge,1024,4,3000,22.0613845,12345
146588263,infrastructure_70,edge40,edge,1024,4,2500,24.51361619,12345
146588263,infrastructure_70,edge41,edge,1024,4,3000,19.40226656,12345
146588263,infrastructure_70,edge42,edge,1024,4,2500,22.33546548,12345
146588263,infrastructure_70,edge43,edge,512,2,1500,9.40262467,12345
146588263,infrastructure_70,fog1,fog,4096,4,2000,76.22292978,12345
146588263,infrastructure_70,fog2,fog,3500,16,2000,64.69809656,12345
146588263,infrastructure_70,fog3,fog,4096,4,2000,72.37162637,12345
146588263,infrastructure_70,fog4,fog,2048,4,1500,79.21812849,12345
146588263,infrastructure_70,fog5,fog,1024,2,1000,44.30974439,12345
146588263,infrastructure_70,fog6,fog,2048,4,1500,29.50677809,12345
146588263,infrastructure_70,fog7,fog,3500,16,2000,98.05821584,12345
146588263,infrastructure_70,fog8,fog,2048,4,1500,64.06971449,12345
146588263,infrastructure_70,fog9,fog,2048,4,1500,54.30709235,12345
146588263,infrastructure_70,fog10,fog,2048,4,1500,90.65210895,12345
146588263,infrastructure_70,fog11,fog,3500,16,2000,95.71695244,12345
146588263,infrastructure_70,fog12,fog,2048,4,1500,63.33536108,12345
146588263,infrastructure_70,fog13,fog,3500,16,2000,103.54030902,12345
146588263,infrastructure_70,fog14,fog,2048,4,1500,55.80115805,12345
146588263,infrastructure_70,fog15,fog,2048,4,1500,82.55854999,12345
146588263,infrastructure_70,fog16,fog,4096,4,2000,58.22121925,12345
146588263,infrastructure_70,fog17,fog,4096,4,2000,47.49679571,12345
146588263,infrastructure_70,fog18,fog,2048,4,1500,43.53277659,12345
146588263,infrastructure_70,fog19,fog,2048,4,1500,60.65228267,12345
146588263,infrastructure_70,fog20,fog,2048,4,1500,86.1813525,12345
146588263,infrastructure_70,fog21,fog,2048,4,1500,79.23558271,12345
146588263,infrastructure_70,fog22,fog,3500,16,2000,118.48373097,12345
146588263,infrastructure_70,fog23,fog,3500,16,2000,94.08642042,12345
146588263,infrastructure_70,cloud1,cloud,inf,inf,inf,106.06338892,12345
146588263,infrastructure_70,cloud2,cloud,inf,inf,inf,137.45563725,12345
146588263,infrastructure_70,cloud3,cloud,inf,inf,inf,31.71105885,12345
146588263,infrastructure_70,cloud4,cloud,inf,inf,inf,42.54291502,12345
146588263,infrastructure_75,edge1,edge,1024,4,3000,19.06494495,12345
146588263,infrastructure_75,edge2,edge,1024,4,3000,24.84919442,12345
146588263,infrastructure_75,edge3,edge,1024,4,2500,19.2499325,12345
146588263,infrastructure_75,edge4,edge,512,2,1500,12.54503112,12345
146588263,infrastructure_75,edge5,edge,1024,4,2500,28.41638017,12345
146588263,infrastructure_75,edge6,edge,1024,4,3000,19.25135847,12345
146588263,infrastructure_75,edge7,edge,1024,4,3000,17.60219858,12345
146588263,infrastructure_75,edge8,edge,1024,4,2500,20.12252257,12345
146588263,infrastructure_75,edge9,edge,512,2,1500,16.47699446,12345
146588263,infrastructure_75,edge10,edge,512,2,1500,15.28347574,12345
146588263,infrastructure_75,edge11,edge,1024,4,3000,22.33381663,12345
146588263,infrastructure_75,edge12,edge,1024,4,2500,20.4063996,12345
146588263,infrastructure_75,edge13,edge,1024,4,3000,22.13694807,12345
146588263,infrastructure_75,edge14,edge,1024,4,3000,25.5795458,12345
146588263,infrastructure_75,edge15,edge,1024,4,2500,21.37841807,12345
146588263,infrastructure_75,edge16,edge,1024,4,2500,20.81466861,12345
146588263,infrastructure_75,edge17,edge,1024,4,3000,20.70907176,12345
146588263,infrastructure_75,edge18,edge,1024,4,2500,21.02825516,12345
146588263,infrastructure_75,edge19,edge,1024,4,3000,23.6314427,12345
146588263,infrastructure_75,edge20,edge,1024,4,3000,22.16031759,12345
146588263,infrastructure_75,edge21,edge,1024,4,2500,21.93330902,12345
146588263,infrastructure_75,edge22,edge,1024,4,3000,23.60635358,12345
146588263,infrastructure_75,edge23,edge,1024,4,2500,24.50709209,12345
146588263,infrastructure_75,edge24,edge,512,2,1500,19.26825691,12345
146588263,infrastructure_75,edge25,edge,512,2,1500,9.94890035,12345
146588263,infrastructure_75,edge26,edge,1024,4,3000,24.2960261,12345
146588263,infrastructure_75,edge27,edge,1024,4,2500,22.04772744,12345
146588263,infrastructure_75,edge28,edge,1024,4,3000,17.1142923,12345
146588263,infrastructure_75,edge29,edge,1024,4,2500,19.98803906,12345
146588263,infrastructure_75,edge30,edge,1024,4,3000,26.75602648,12345
146588263,infrastructure_75,edge31,edge,1024,4,2500,26.75036973,12345
146588263,infrastructure_75,edge32,edge,1024,4,2500,20.9459766,12345
146588263,infrastructure_75,edge33,edge,1024,4,2500,23.88447739,12345
146588263,infrastructure_75,edge34,edge,1024,4,2500,24.76502757,12345
146588263,infrastructure_75,edge35,edge,1024,4,2500,21.96976354,12345
146588263,infrastructure_75,edge36,edge,1024,4,2500,23.16905761,12345
146588263,infrastructure_75,edge37,edge,1024,4,3000,17.7873805,12345
146588263,infrastructure_75,edge38,edge,1024,4,2500,28.98533264,12345
146588263,infrastructure_75,edge39,edge,1024,4,2500,21.5613845,12345
146588263,infrastructure_75,edge40,edge,512,2,1500,17.76361619,12345
146588263,infrastructure_75,edge41,edge,1024,4,2500,18.90226656,12345
146588263,infrastructure_75,edge42,edge,1024,4,2500,22.33546548,12345
146588263,infrastructure_75,edge43,edge,1024,4,2500,16.15262467,12345
146588263,infrastructure_75,edge44,edge,1024,4,3000,24.61112148,12345
146588263,infrastructure_75,edge45,edge,1024,4,2500,18.71328917,12345
146588263,infrastructure_75,edge46,edge,512,2,1500,16.05449872,12345
146588263,infrastructure_75,edge47,edge,512,2,1500,17.93266726,12345
146588263,infrastructure_75,fog1,fog,4096,4,2000,76.22292978,12345
146588263,infrastructure_75,fog2,fog,4096,4,2000,35.57114344,12345
146588263,infrastructure_75,fog3,fog,4096,4,2000,72.37162637,12345
146588263,infrastructure_75,fog4,fog,2048,4,1500,79.21812849,12345
146588263,infrastructure_75,fog5,fog,2048,4,1500,51.30974439,12345
146588263,infrastructure_75,fog6,fog,2048,4,1500,29.50677809,12345
146588263,infrastructure_75,fog7,fog,3500,16,2000,98.05821584,12345
146588263,infrastructure_75,fog8,fog,3500,16,2000,96.69666762,12345
146588263,infrastructure_75,fog9,fog,1024,2,1000,47.30709235,12345
146588263,infrastructure_75,fog10,fog,3500,16,2000,123.27906207,12345
146588263,infrastructure_75,fog11,fog,3500,16,2000,95.71695244,12345
146588263,infrastructure_75,fog12,fog,2048,4,1500,63.33536108,12345
146588263,infrastructure_75,fog13,fog,2048,4,1500,70.9133559,12345
146588263,infrastructure_75,fog14,fog,2048,4,1500,55.80115805,12345
146588263,infrastructure_75,fog15,fog,4096,4,2000,86.05854999,12345
146588263,infrastructure_75,fog16,fog,2048,2,2000,50.22121925,12345
146588263,infrastructure_75,fog17,fog,3500,16,2000,76.62374884,12345
146588263,infrastructure_75,fog18,fog,2048,4,1500,43.53277659,12345
146588263,infrastructure_75,fog19,fog,4096,4,2000,64.15228267,12345
146588263,infrastructure_75,fog20,fog,4096,4,2000,89.6813525,12345
146588263,infrastructure_75,fog21,fog,2048,4,1500,79.23558271,12345
146588263,infrastructure_75,fog22,fog,3500,16,2000,118.48373097,12345
146588263,infrastructure_75,fog23,fog,2048,4,1500,61.45946729,12345
146588263,infrastructure_75,fog24,fog,4096,4,2000,75.05242082,12345
146588263,infrastructure_75,cloud1,cloud,inf,inf,inf,106.06338892,12345
146588263,infrastructure_75,cloud2,cloud,inf,inf,inf,137.45563725,12345
146588263,infrastructure_75,cloud3,cloud,inf,inf,inf,31.71105885,12345
146588263,infrastructure_75,cloud4,cloud,inf,inf,inf,42.54291502,12345
146588263,infrastructure_80,edge1,edge,1024,4,3000,19.06494495,12345
146588263,infrastructure_80,edge2,edge,1024,4,3000,24.84919442,12345
146588263,infrastructure_80,edge3,edge,1024,4,2500,19.2499325,12345
146588263,infrastructure_80,edge4,edge,1024,4,3000,19.79503112,12345
146588263,infrastructure_80,edge5,edge,1024,4,3000,28.91638017,12345
146588263,infrastructure_80,edge6,edge,1024,4,2500,18.75135847,12345
146588263,infrastructure_80,edge7,edge,512,2,1500,10.35219858,12345
146588263,infrastructure_80,edge8,edge,1024,4,3000,20.62252257,12345
146588263,infrastructure_80,edge9,edge,1024,4,3000,23.72699446,12345
146588263,infrastructure_80,edge10,edge,512,2,1500,15.28347574,12345
146588263,infrastructure_80,edge11,edge,1024,4,2500,21.83381663,12345
