dataset_seed,infrastructure,source_pool,target_pool,latency_ms,source,generator_seed
146588263,infrastructure_50,edge12,aws.faas.eu-west-1,29.761,generated,12345
146588263,infrastructure_50,edge12,aws.faas.us-east-1,108.942,generated,12345
146588263,infrastructure_50,edge12,azure.faas.westeurope,47.119,generated,12345
146588263,infrastructure_50,edge12,azure.faas.eastus,101.601,generated,12345
146588263,infrastructure_50,edge12,gcp.faas.europe-west1,31.762,generated,12345
146588263,infrastructure_50,edge12,gcp.faas.us-central1,101.244,generated,12345
146588263,infrastructure_50,edge13,aws.faas.eu-west-1,54.311,generated,12345
146588263,infrastructure_50,edge13,aws.faas.us-east-1,99.936,generated,12345
146588263,infrastructure_50,edge13,azure.faas.westeurope,43.043,generated,12345
146588263,infrastructure_50,edge13,azure.faas.eastus,98.893,generated,12345
146588263,infrastructure_50,edge13,gcp.faas.europe-west1,55.314,generated,12345
146588263,infrastructure_50,edge13,gcp.faas.us-central1,139.43,generated,12345
146588263,infrastructure_50,edge14,aws.faas.eu-west-1,41.334,generated,12345
146588263,infrastructure_50,edge14,aws.faas.us-east-1,103.22,generated,12345
146588263,infrastructure_50,edge14,azure.faas.westeurope,30.109,generated,12345
146588263,infrastructure_50,edge14,azure.faas.eastus,122.008,generated,12345
146588263,infrastructure_50,edge14,gcp.faas.europe-west1,25.616,generated,12345
146588263,infrastructure_50,edge14,gcp.faas.us-central1,115.818,generated,12345
146588263,infrastructure_50,edge15,aws.faas.eu-west-1,29.754,generated,12345
146588263,infrastructure_50,edge15,aws.faas.us-east-1,109.834,generated,12345
146588263,infrastructure_50,edge15,azure.faas.westeurope,56.259,generated,12345
146588263,infrastructure_50,edge15,azure.faas.eastus,124.528,generated,12345
146588263,infrastructure_50,edge15,gcp.faas.europe-west1,53.404,generated,12345
146588263,infrastructure_50,edge15,gcp.faas.us-central1,91.828,generated,12345
146588263,infrastructure_50,edge16,aws.faas.eu-west-1,23.399,generated,12345
146588263,infrastructure_50,edge16,aws.faas.us-east-1,144.242,generated,12345
146588263,infrastructure_50,edge16,azure.faas.westeurope,29.558,generated,12345
146588263,infrastructure_50,edge16,azure.faas.eastus,128.198,generated,12345
146588263,infrastructure_50,edge16,gcp.faas.europe-west1,34.065,generated,12345
146588263,infrastructure_50,edge16,gcp.faas.us-central1,124.512,generated,12345
146588263,infrastructure_50,edge17,aws.faas.eu-west-1,20.683,generated,12345
146588263,infrastructure_50,edge17,aws.faas.us-east-1,140.292,generated,12345
146588263,infrastructure_50,edge17,azure.faas.westeurope,55.328,generated,12345
146588263,infrastructure_50,edge17,azure.faas.eastus,84.139,generated,12345
146588263,infrastructure_50,edge17,gcp.faas.europe-west1,47.121,generated,12345
146588263,infrastructure_50,edge17,gcp.faas.us-central1,111.643,generated,12345
146588263,infrastructure_50,edge18,aws.faas.eu-west-1,59.613,generated,12345
146588263,infrastructure_50,edge18,aws.faas.us-east-1,126.51,generated,12345
146588263,infrastructure_50,edge18,azure.faas.westeurope,24.786,generated,12345
146588263,infrastructure_50,edge18,azure.faas.eastus,123.481,generated,12345
146588263,infrastructure_50,edge18,gcp.faas.europe-west1,49.795,generated,12345
146588263,infrastructure_50,edge18,gcp.faas.us-central1,143.561,generated,12345
146588263,infrastructure_50,edge19,aws.faas.eu-west-1,47.41,generated,12345
146588263,infrastructure_50,edge19,aws.faas.us-east-1,113.658,generated,12345
146588263,infrastructure_50,edge19,azure.faas.westeurope,51.425,generated,12345
146588263,infrastructure_50,edge19,azure.faas.eastus,97.054,generated,12345
146588263,infrastructure_50,edge19,gcp.faas.europe-west1,27.348,generated,12345
146588263,infrastructure_50,edge19,gcp.faas.us-central1,131.02,generated,12345
146588263,infrastructure_50,edge20,aws.faas.eu-west-1,40.797,generated,12345
146588263,infrastructure_50,edge20,aws.faas.us-east-1,81.609,generated,12345
146588263,infrastructure_50,edge20,azure.faas.westeurope,29.775,generated,12345
146588263,infrastructure_50,edge20,azure.faas.eastus,89.678,generated,12345
146588263,infrastructure_50,edge20,gcp.faas.europe-west1,57.139,generated,12345
146588263,infrastructure_50,edge20,gcp.faas.us-central1,120.681,generated,12345
146588263,infrastructure_50,edge21,aws.faas.eu-west-1,20.342,generated,12345
146588263,infrastructure_50,edge21,aws.faas.us-east-1,111.572,generated,12345
146588263,infrastructure_50,edge21,azure.faas.westeurope,29.924,generated,12345
146588263,infrastructure_50,edge21,azure.faas.eastus,134.905,generated,12345
146588263,infrastructure_50,edge21,gcp.faas.europe-west1,32.336,generated,12345
146588263,infrastructure_50,edge21,gcp.faas.us-central1,117.947,generated,12345
146588263,infrastructure_50,edge22,aws.faas.eu-west-1,26.089,generated,12345
146588263,infrastructure_50,edge22,aws.faas.us-east-1,102.563,generated,12345
146588263,infrastructure_50,edge22,azure.faas.westeurope,55.389,generated,12345
146588263,infrastructure_50,edge22,azure.faas.eastus,84.767,generated,12345
146588263,infrastructure_50,edge22,gcp.faas.europe-west1,49.767,generated,12345
146588263,infrastructure_50,edge22,gcp.faas.us-central1,121.717,generated,12345
146588263,infrastructure_50,edge23,aws.faas.eu-west-1,34.321,generated,12345
146588263,infrastructure_50,edge23,aws.faas.us-east-1,99.931,generated,12345
146588263,infrastructure_50,edge23,azure.faas.westeurope,40.076,generated,12345
146588263,infrastructure_50,edge23,azure.faas.eastus,149.82,generated,12345
146588263,infrastructure_50,edge23,gcp.faas.europe-west1,36.807,generated,12345
146588263,infrastructure_50,edge23,gcp.faas.us-central1,122.324,generated,12345
146588263,infrastructure_50,edge24,aws.faas.eu-west-1,47.559,generated,12345
146588263,infrastructure_50,edge24,aws.faas.us-east-1,136.864,generated,12345
146588263,infrastructure_50,edge24,azure.faas.westeurope,28.3,generated,12345
146588263,infrastructure_50,edge24,azure.faas.eastus,134.801,generated,12345
146588263,infrastructure_50,edge24,gcp.faas.europe-west1,46.46,generated,12345
146588263,infrastructure_50,edge24,gcp.faas.us-central1,104.872,generated,12345
146588263,infrastructure_50,edge25,aws.faas.eu-west-1,25.119,generated,12345
146588263,infrastructure_50,edge25,aws.faas.us-east-1,138.067,generated,12345
146588263,infrastructure_50,edge25,azure.faas.westeurope,47.468,generated,12345
146588263,infrastructure_50,edge25,azure.faas.eastus,147.287,generated,12345
146588263,infrastructure_50,edge25,gcp.faas.europe-west1,22.955,generated,12345
146588263,infrastructure_50,edge25,gcp.faas.us-central1,94.308,generated,12345
146588263,infrastructure_50,edge26,aws.faas.eu-west-1,41.49,generated,12345
146588263,infrastructure_50,edge26,aws.faas.us-east-1,98.731,generated,12345
146588263,infrastructure_50,edge26,azure.faas.westeurope,22.27,generated,12345
146588263,infrastructure_50,edge26,azure.faas.eastus,88.656,generated,12345
146588263,infrastructure_50,edge26,gcp.faas.europe-west1,24.464,generated,12345
146588263,infrastructure_50,edge26,gcp.faas.us-central1,115.455,generated,12345
146588263,infrastructure_50,edge27,aws.faas.eu-west-1,31.17,generated,12345
146588263,infrastructure_50,edge27,aws.faas.us-east-1,111.991,generated,12345
146588263,infrastructure_50,edge27,azure.faas.westeurope,51.572,generated,12345
146588263,infrastructure_50,edge27,azure.faas.eastus,116.455,generated,12345
146588263,infrastructure_50,edge27,gcp.faas.europe-west1,32.515,generated,12345
146588263,infrastructure_50,edge27,gcp.faas.us-central1,106.6,generated,12345
146588263,infrastructure_50,edge28,aws.faas.eu-west-1,42.458,generated,12345
146588263,infrastructure_50,edge28,aws.faas.us-east-1,133.077,generated,12345
146588263,infrastructure_50,edge28,azure.faas.westeurope,53.546,generated,12345
146588263,infrastructure_50,edge28,azure.faas.eastus,105.402,generated,12345
146588263,infrastructure_50,edge28,gcp.faas.europe-west1,27.565,generated,12345
146588263,infrastructure_50,edge28,gcp.faas.us-central1,97.587,generated,12345
146588263,infrastructure_50,edge29,aws.faas.eu-west-1,29.632,generated,12345
146588263,infrastructure_50,edge29,aws.faas.us-east-1,131.228,generated,12345
146588263,infrastructure_50,edge29,azure.faas.westeurope,32.409,generated,12345
146588263,infrastructure_50,edge29,azure.faas.eastus,132.773,generated,12345
146588263,infrastructure_50,edge29,gcp.faas.europe-west1,57.367,generated,12345
146588263,infrastructure_50,edge29,gcp.faas.us-central1,141.546,generated,12345
146588263,infrastructure_50,edge30,aws.faas.eu-west-1,50.537,generated,12345
146588263,infrastructure_50,edge30,aws.faas.us-east-1,97.148,generated,12345
146588263,infrastructure_50,edge30,azure.faas.westeurope,33.094,generated,12345
146588263,infrastructure_50,edge30,azure.faas.eastus,113.668,generated,12345
146588263,infrastructure_50,edge30,gcp.faas.europe-west1,24.632,generated,12345
146588263,infrastructure_50,edge30,gcp.faas.us-central1,88.053,generated,12345
146588263,infrastructure_50,edge31,aws.faas.eu-west-1,36.768,generated,12345
146588263,infrastructure_50,edge31,aws.faas.us-east-1,96.767,generated,12345
146588263,infrastructure_50,edge31,azure.faas.westeurope,40.687,generated,12345
146588263,infrastructure_50,edge31,azure.faas.eastus,84.525,generated,12345
146588263,infrastructure_50,edge31,gcp.faas.europe-west1,37.209,generated,12345
146588263,infrastructure_50,edge31,gcp.faas.us-central1,100.63,generated,12345
146588263,infrastructure_50,fog1,aws.faas.eu-west-1,25.902,generated,12345
146588263,infrastructure_50,fog1,aws.faas.us-east-1,135.678,generated,12345
146588263,infrastructure_50,fog1,azure.faas.westeurope,22.003,generated,12345
146588263,infrastructure_50,fog1,azure.faas.eastus,110.054,generated,12345
146588263,infrastructure_50,fog1,gcp.faas.europe-west1,41.33,generated,12345
146588263,infrastructure_50,fog1,gcp.faas.us-central1,124.798,generated,12345
146588263,infrastructure_50,fog2,aws.faas.eu-west-1,51.476,generated,12345
146588263,infrastructure_50,fog2,aws.faas.us-east-1,82.794,generated,12345
146588263,infrastructure_50,fog2,azure.faas.westeurope,23.553,generated,12345
146588263,infrastructure_50,fog2,azure.faas.eastus,108.37,generated,12345
146588263,infrastructure_50,fog2,gcp.faas.europe-west1,45.691,generated,12345
146588263,infrastructure_50,fog2,gcp.faas.us-central1,81.171,generated,12345
146588263,infrastructure_50,fog3,aws.faas.eu-west-1,34.648,generated,12345
146588263,infrastructure_50,fog3,aws.faas.us-east-1,84.538,generated,12345
146588263,infrastructure_50,fog3,azure.faas.westeurope,55.247,generated,12345
146588263,infrastructure_50,fog3,azure.faas.eastus,101.687,generated,12345
146588263,infrastructure_50,fog3,gcp.faas.europe-west1,56.159,generated,12345
146588263,infrastructure_50,fog3,gcp.faas.us-central1,119.482,generated,12345
146588263,infrastructure_50,fog4,aws.faas.eu-west-1,43.568,generated,12345
146588263,infrastructure_50,fog4,aws.faas.us-east-1,145.616,generated,12345
146588263,infrastructure_50,fog4,azure.faas.westeurope,35.495,generated,12345
146588263,infrastructure_50,fog4,azure.faas.eastus,84.443,generated,12345
146588263,infrastructure_50,fog4,gcp.faas.europe-west1,45.881,generated,12345
146588263,infrastructure_50,fog4,gcp.faas.us-central1,117.836,generated,12345
146588263,infrastructure_50,fog5,aws.faas.eu-west-1,50.41,generated,12345
146588263,infrastructure_50,fog5,aws.faas.us-east-1,129.722,generated,12345
146588263,infrastructure_50,fog5,azure.faas.westeurope,37.877,generated,12345
146588263,infrastructure_50,fog5,azure.faas.eastus,112.72,generated,12345
146588263,infrastructure_50,fog5,gcp.faas.europe-west1,36.93,generated,12345
146588263,infrastructure_50,fog5,gcp.faas.us-central1,117.881,generated,12345
146588263,infrastructure_50,fog6,aws.faas.eu-west-1,21.413,generated,12345
146588263,infrastructure_50,fog6,aws.faas.us-east-1,92.857,generated,12345
146588263,infrastructure_50,fog6,azure.faas.westeurope,49.027,generated,12345
146588263,infrastructure_50,fog6,azure.faas.eastus,130.428,generated,12345
146588263,infrastructure_50,fog6,gcp.faas.europe-west1,53.839,generated,12345
146588263,infrastructure_50,fog6,gcp.faas.us-central1,109.885,generated,12345
146588263,infrastructure_50,fog7,aws.faas.eu-west-1,25.736,generated,12345
146588263,infrastructure_50,fog7,aws.faas.us-east-1,112.923,generated,12345
146588263,infrastructure_50,fog7,azure.faas.westeurope,36.631,generated,12345
146588263,infrastructure_50,fog7,azure.faas.eastus,101.923,generated,12345
146588263,infrastructure_50,fog7,gcp.faas.europe-west1,41.022,generated,12345
146588263,infrastructure_50,fog7,gcp.faas.us-central1,120.4,generated,12345
146588263,infrastructure_50,fog8,aws.faas.eu-west-1,21.621,generated,12345
146588263,infrastructure_50,fog8,aws.faas.us-east-1,140.467,generated,12345
146588263,infrastructure_50,fog8,azure.faas.westeurope,25.874,generated,12345
146588263,infrastructure_50,fog8,azure.faas.eastus,128.57,generated,12345
146588263,infrastructure_50,fog8,gcp.faas.europe-west1,39.35,generated,12345
146588263,infrastructure_50,fog8,gcp.faas.us-central1,107.182,generated,12345
146588263,infrastructure_50,fog9,aws.faas.eu-west-1,22.168,generated,12345
146588263,infrastructure_50,fog9,aws.faas.us-east-1,146.905,generated,12345
146588263,infrastructure_50,fog9,azure.faas.westeurope,30.176,generated,12345
146588263,infrastructure_50,fog9,azure.faas.eastus,116.555,generated,12345
146588263,infrastructure_50,fog9,gcp.faas.europe-west1,23.847,generated,12345
146588263,infrastructure_50,fog9,gcp.faas.us-central1,110.877,generated,12345
146588263,infrastructure_50,fog10,aws.faas.eu-west-1,27.783,generated,12345
146588263,infrastructure_50,fog10,aws.faas.us-east-1,135.226,generated,12345
146588263,infrastructure_50,fog10,azure.faas.westeurope,41.854,generated,12345
146588263,infrastructure_50,fog10,azure.faas.eastus,120.112,generated,12345
146588263,infrastructure_50,fog10,gcp.faas.europe-west1,49.088,generated,12345
146588263,infrastructure_50,fog10,gcp.faas.us-central1,125.692,generated,12345
146588263,infrastructure_50,fog11,aws.faas.eu-west-1,22.052,generated,12345
146588263,infrastructure_50,fog11,aws.faas.us-east-1,119.215,generated,12345
146588263,infrastructure_50,fog11,azure.faas.westeurope,20.11,generated,12345
146588263,infrastructure_50,fog11,azure.faas.eastus,131.016,generated,12345
146588263,infrastructure_50,fog11,gcp.faas.europe-west1,55.563,generated,12345
146588263,infrastructure_50,fog11,gcp.faas.us-central1,115.575,generated,12345
146588263,infrastructure_50,fog12,aws.faas.eu-west-1,28.299,generated,12345
146588263,infrastructure_50,fog12,aws.faas.us-east-1,147.653,generated,12345
146588263,infrastructure_50,fog12,azure.faas.westeurope,57.965,generated,12345
146588263,infrastructure_50,fog12,azure.faas.eastus,127.504,generated,12345
146588263,infrastructure_50,fog12,gcp.faas.europe-west1,29.306,generated,12345
146588263,infrastructure_50,fog12,gcp.faas.us-central1,97.27,generated,12345
146588263,infrastructure_50,fog13,aws.faas.eu-west-1,33.914,generated,12345
146588263,infrastructure_50,fog13,aws.faas.us-east-1,116.851,generated,12345
146588263,infrastructure_50,fog13,azure.faas.westeurope,31.406,generated,12345
146588263,infrastructure_50,fog13,azure.faas.eastus,128.221,generated,12345
146588263,infrastructure_50,fog13,gcp.faas.europe-west1,25.385,generated,12345
146588263,infrastructure_50,fog13,gcp.faas.us-central1,131.827,generated,12345
146588263,infrastructure_50,fog14,aws.faas.eu-west-1,36.684,generated,12345
146588263,infrastructure_50,fog14,aws.faas.us-east-1,93.354,generated,12345
146588263,infrastructure_50,fog14,azure.faas.westeurope,50.433,generated,12345
146588263,infrastructure_50,fog14,azure.faas.eastus,124.861,generated,12345
146588263,infrastructure_50,fog14,gcp.faas.europe-west1,54.955,generated,12345
146588263,infrastructure_50,fog14,gcp.faas.us-central1,86.294,generated,12345
146588263,infrastructure_50,fog15,aws.faas.eu-west-1,54.504,generated,12345
146588263,infrastructure_50,fog15,aws.faas.us-east-1,81.768,generated,12345
146588263,infrastructure_50,fog15,azure.faas.westeurope,49.665,generated,12345
146588263,infrastructure_50,fog15,azure.faas.eastus,103.966,generated,12345
146588263,infrastructure_50,fog15,gcp.faas.europe-west1,21.508,generated,12345
146588263,infrastructure_50,fog15,gcp.faas.us-central1,139.461,generated,12345
146588263,infrastructure_50,fog16,aws.faas.eu-west-1,26.961,generated,12345
146588263,infrastructure_50,fog16,aws.faas.us-east-1,149.675,generated,12345
146588263,infrastructure_50,fog16,azure.faas.westeurope,40.758,generated,12345
146588263,infrastructure_50,fog16,azure.faas.eastus,106.656,generated,12345
146588263,infrastructure_50,fog16,gcp.faas.europe-west1,48.704,generated,12345
146588263,infrastructure_50,fog16,gcp.faas.us-central1,106.977,generated,12345
146588263,infrastructure_50,cloud1,aws.faas.eu-west-1,35.137,generated,12345
146588263,infrastructure_50,cloud1,aws.faas.us-east-1,128.723,generated,12345
146588263,infrastructure_50,cloud1,azure.faas.westeurope,26.431,generated,12345
146588263,infrastructure_50,cloud1,azure.faas.eastus,146.711,generated,12345
146588263,infrastructure_50,cloud1,gcp.faas.europe-west1,49.26,generated,12345
146588263,infrastructure_50,cloud1,gcp.faas.us-central1,146.859,generated,12345
146588263,infrastructure_50,cloud2,aws.faas.eu-west-1,21.029,generated,12345
146588263,infrastructure_50,cloud2,aws.faas.us-east-1,94.054,generated,12345
146588263,infrastructure_50,cloud2,azure.faas.westeurope,48.977,generated,12345
146588263,infrastructure_50,cloud2,azure.faas.eastus,83.837,generated,12345
146588263,infrastructure_50,cloud2,gcp.faas.europe-west1,26.99,generated,12345
146588263,infrastructure_50,cloud2,gcp.faas.us-central1,114.735,generated,12345
146588263,infrastructure_50,cloud3,aws.faas.eu-west-1,25.584,generated,12345
146588263,infrastructure_50,cloud3,aws.faas.us-east-1,125.859,generated,12345
146588263,infrastructure_50,cloud3,azure.faas.westeurope,38.188,generated,12345
146588263,infrastructure_50,cloud3,azure.faas.eastus,144.849,generated,12345
146588263,infrastructure_50,cloud3,gcp.faas.europe-west1,59.555,generated,12345
146588263,infrastructure_50,cloud3,gcp.faas.us-central1,108.373,generated,12345
146588263,infrastructure_50,aws.faas.eu-west-1,aws.faas.us-east-1,73.021,generated,12345
146588263,infrastructure_50,aws.faas.eu-west-1,azure.faas.westeurope,30.367,generated,12345
146588263,infrastructure_50,aws.faas.eu-west-1,azure.faas.eastus,102.197,generated,12345
146588263,infrastructure_50,aws.faas.eu-west-1,gcp.faas.europe-west1,30.978,generated,12345
146588263,infrastructure_50,aws.faas.eu-west-1,gcp.faas.us-central1,129.234,generated,12345
146588263,infrastructure_50,aws.faas.us-east-1,azure.faas.westeurope,90.605,generated,12345
146588263,infrastructure_50,aws.faas.us-east-1,azure.faas.eastus,20.371,generated,12345
146588263,infrastructure_50,aws.faas.us-east-1,gcp.faas.europe-west1,104.692,generated,12345
146588263,infrastructure_50,aws.faas.us-east-1,gcp.faas.us-central1,24.485,generated,12345
146588263,infrastructure_50,azure.faas.westeurope,azure.faas.eastus,72.052,generated,12345
146588263,infrastructure_50,azure.faas.westeurope,gcp.faas.europe-west1,20.673,generated,12345
146588263,infrastructure_50,azure.faas.westeurope,gcp.faas.us-central1,99.928,generated,12345
146588263,infrastructure_50,azure.faas.eastus,gcp.faas.europe-west1,123.277,generated,12345
146588263,infrastructure_50,azure.faas.eastus,gcp.faas.us-central1,25.238,generated,12345
146588263,infrastructure_50,gcp.faas.europe-west1,gcp.faas.us-central1,76.646,generated,12345
146588263,infrastructure_55,edge1,aws.faas.eu-west-1,24.827,generated,12345
146588263,infrastructure_55,edge1,aws.faas.us-east-1,131.855,generated,12345
146588263,infrastructure_55,edge1,azure.faas.westeurope,45.915,generated,12345
146588263,infrastructure_55,edge1,azure.faas.eastus,121.181,generated,12345
146588263,infrastructure_55,edge1,gcp.faas.europe-west1,28.977,generated,12345
146588263,infrastructure_55,edge1,gcp.faas.us-central1,106.388,generated,12345
146588263,infrastructure_55,edge2,aws.faas.eu-west-1,58.5,generated,12345
146588263,infrastructure_55,edge2,aws.faas.us-east-1,91.565,generated,12345
146588263,infrastructure_55,edge2,azure.faas.westeurope,32.109,generated,12345
146588263,infrastructure_55,edge2,azure.faas.eastus,85.675,generated,12345
146588263,infrastructure_55,edge2,gcp.faas.europe-west1,23.307,generated,12345
146588263,infrastructure_55,edge2,gcp.faas.us-central1,89.634,generated,12345
146588263,infrastructure_55,edge3,aws.faas.eu-west-1,21.201,generated,12345
146588263,infrastructure_55,edge3,aws.faas.us-east-1,109.782,generated,12345
146588263,infrastructure_55,edge3,azure.faas.westeurope,32.363,generated,12345
146588263,infrastructure_55,edge3,azure.faas.eastus,97.168,generated,12345
146588263,infrastructure_55,edge3,gcp.faas.europe-west1,58.317,generated,12345
146588263,infrastructure_55,edge3,gcp.faas.us-central1,133.415,generated,12345
146588263,infrastructure_55,edge4,aws.faas.eu-west-1,48.37,generated,12345
146588263,infrastructure_55,edge4,aws.faas.us-east-1,142.219,generated,12345
146588263,infrastructure_55,edge4,azure.faas.westeurope,55.576,generated,12345
146588263,infrastructure_55,edge4,azure.faas.eastus,93.467,generated,12345
146588263,infrastructure_55,edge4,gcp.faas.europe-west1,54.394,generated,12345
146588263,infrastructure_55,edge4,gcp.faas.us-central1,123.465,generated,12345
146588263,infrastructure_55,edge5,aws.faas.eu-west-1,24.746,generated,12345
146588263,infrastructure_55,edge5,aws.faas.us-east-1,114.82,generated,12345
146588263,infrastructure_55,edge5,azure.faas.westeurope,43.528,generated,12345
146588263,infrastructure_55,edge5,azure.faas.eastus,113.76,generated,12345
146588263,infrastructure_55,edge5,gcp.faas.europe-west1,29.455,generated,12345
146588263,infrastructure_55,edge5,gcp.faas.us-central1,123.869,generated,12345
146588263,infrastructure_55,edge6,aws.faas.eu-west-1,40.126,generated,12345
146588263,infrastructure_55,edge6,aws.faas.us-east-1,111.978,generated,12345
146588263,infrastructure_55,edge6,azure.faas.westeurope,57.806,generated,12345
146588263,infrastructure_55,edge6,azure.faas.eastus,86.961,generated,12345
146588263,infrastructure_55,edge6,gcp.faas.europe-west1,53.749,generated,12345
146588263,infrastructure_55,edge6,gcp.faas.us-central1,120.148,generated,12345
146588263,infrastructure_55,edge7,aws.faas.eu-west-1,48.29,generated,12345
146588263,infrastructure_55,edge7,aws.faas.us-east-1,116.165,generated,12345
146588263,infrastructure_55,edge7,azure.faas.westeurope,20.692,generated,12345
146588263,infrastructure_55,edge7,azure.faas.eastus,97.048,generated,12345
146588263,infrastructure_55,edge7,gcp.faas.europe-west1,27.852,generated,12345
146588263,infrastructure_55,edge7,gcp.faas.us-central1,93.015,generated,12345
146588263,infrastructure_55,edge8,aws.faas.eu-west-1,29.835,generated,12345
146588263,infrastructure_55,edge8,aws.faas.us-east-1,145.514,generated,12345
146588263,infrastructure_55,edge8,azure.faas.westeurope,45.639,generated,12345
146588263,infrastructure_55,edge8,azure.faas.eastus,82.07,generated,12345
146588263,infrastructure_55,edge8,gcp.faas.europe-west1,40.002,generated,12345
146588263,infrastructure_55,edge8,gcp.faas.us-central1,144.469,generated,12345
146588263,infrastructure_55,edge9,aws.faas.eu-west-1,58.685,generated,12345
