application,dataset_seed,infrastructure,task,security_threshold,eligible_candidates,latency_feasible,security_feasible,witness_found,witness_cost,ac_pool_domain_size,local_budget_quantile,local_budget,min_eligible_cost,global_budget_factor,global_budget_slack,cheapest_eligible_binding_cost,global_budget,norm_cost_min,norm_cost_max,norm_latency_min,norm_latency_max,norm_security_min,norm_security_max
arOrch,146588263,infrastructure_65,fLogin,1.0,17,True,True,True,18.1785545,45,0.75,34.7599157,18.1785545,,,,,,,,,,
arOrch,146588263,infrastructure_65,fCrop,0.66,9,True,True,True,32.07114344,9,0.75,76.22292978,32.07114344,,,,,,,,,,
arOrch,146588263,infrastructure_65,fGeo,0.66,227,True,True,True,8.59945017,45,0.75,23.76166112,8.59945017,,,,,,,,,,
arOrch,146588263,infrastructure_65,fDCC,1.0,10,True,True,True,15.5334328,45,0.75,30.17012511,15.5334328,,,,,,,,,,
arOrch,146588263,infrastructure_65,fCheckDCC,1.0,40,True,True,True,28.40399141,12,0.75,54.31236828,28.40399141,,,,,,,,,,
arOrch,146588263,infrastructure_65,fRules,1.0,57,True,True,True,29.37100829,21,0.75,55.45019471,29.37100829,,,,,,,,,,
arOrch,146588263,infrastructure_65,fAR,1.0,9,True,True,True,58.22121925,9,0.75,76.22292978,58.22121925,,,,,,,,,,
arOrch,146588263,infrastructure_65,__global__,,,,,True,,,,,,1.5,0.25,161.49130001,195.12318575,30.83403833,427.05247051,0.0,594.974,0.33,1.0
arOrch,146588263,infrastructure_70,fLogin,1.0,19,True,True,True,14.75338905,34,0.75,31.66768054,14.75338905,,,,,,,,,,
arOrch,146588263,infrastructure_70,fCrop,0.66,12,True,True,True,43.53277659,12,0.75,80.05323386,43.53277659,,,,,,,,,,
arOrch,146588263,infrastructure_70,fGeo,0.66,67,True,True,True,9.53247247,34,0.75,19.61164317,9.53247247,,,,,,,,,,
arOrch,146588263,infrastructure_70,fDCC,1.0,10,True,True,True,14.75338905,34,0.75,29.0040861,14.75338905,,,,,,,,,,
arOrch,146588263,infrastructure_70,fCheckDCC,1.0,30,True,True,True,29.57627271,10,0.75,49.48075084,29.57627271,,,,,,,,,,
arOrch,146588263,infrastructure_70,fRules,1.0,66,True,True,True,25.58549674,22,0.75,60.93449021,25.58549674,,,,,,,,,,
arOrch,146588263,infrastructure_70,fAR,1.0,12,True,True,True,47.49679571,12,0.75,80.05323386,47.49679571,,,,,,,,,,
arOrch,146588263,infrastructure_70,__global__,,,,,True,,,,,,1.5,0.25,157.64970759,192.13665521,26.61669435,370.94634401,0.0,582.875,0.33,1.0
arOrch,146588263,infrastructure_75,fLogin,1.0,40,True,True,True,22.41791966,50,0.75,34.66495443,22.41791966,,,,,,,,,,
arOrch,146588263,infrastructure_75,fCrop,0.66,12,True,True,True,29.50677809,12,0.75,76.97609301,29.50677809,,,,,,,,,,
arOrch,146588263,infrastructure_75,fGeo,0.66,136,True,True,True,8.55714615,50,0.75,21.76638829,8.55714615,,,,,,,,,,
arOrch,146588263,infrastructure_75,fDCC,1.0,10,True,True,True,19.15593721,50,0.75,30.45253342,19.15593721,,,,,,,,,,
arOrch,146588263,infrastructure_75,fCheckDCC,1.0,30,True,True,True,34.00998171,11,0.75,54.1639913,34.00998171,,,,,,,,,,
arOrch,146588263,infrastructure_75,fRules,1.0,88,True,True,True,28.1919211,23,0.75,55.6658447,28.1919211,,,,,,,,,,
arOrch,146588263,infrastructure_75,fAR,1.0,12,True,True,True,35.57114344,12,0.75,76.97609301,35.57114344,,,,,,,,,,
arOrch,146588263,infrastructure_75,__global__,,,,,True,,,,,,1.5,0.25,146.30987595,183.67015201,25.3955474,395.79126862,0.0,592.556,0.33,1.0
arOrch,146588263,infrastructure_80,fLogin,1.0,36,True,True,True,18.92881454,51,0.75,32.71563136,18.92881454,,,,,,,,,,
arOrch,146588263,infrastructure_80,fCrop,0.66,16,True,True,True,43.53277659,16,0.75,82.60280817,43.53277659,,,,,,,,,,
arOrch,146588263,infrastructure_80,fGeo,0.66,90,True,True,True,8.55714615,51,0.75,20.7080618,8.55714615,,,,,,,,,,
arOrch,146588263,infrastructure_80,fDCC,1.0,9,True,True,True,14.75338905,51,0.75,32.03485725,14.75338905,,,,,,,,,,
arOrch,146588263,infrastructure_80,fCheckDCC,1.0,27,True,True,True,23.05217038,10,0.75,51.118174,23.05217038,,,,,,,,,,
arOrch,146588263,infrastructure_80,fRules,1.0,100,True,True,True,29.26318329,26,0.75,56.3112725,29.26318329,,,,,,,,,,
arOrch,146588263,infrastructure_80,fAR,1.0,16,True,True,True,47.49679571,16,0.75,82.60280817,47.49679571,,,,,,,,,,
arOrch,146588263,infrastructure_80,__global__,,,,,True,,,,,,1.5,0.25,159.42659887,195.66467166,26.72501292,469.89944276,0.0,598.363,0.33,1.0
arOrch,146588263,infrastructure_85,fLogin,1.0,71,True,True,True,18.1785545,58,0.75,32.72267531,18.1785545,,,,,,,,,,
arOrch,146588263,infrastructure_85,fCrop,0.66,8,True,True,True,57.80709235,8,0.75,80.97202516,57.80709235,,,,,,,,,,
arOrch,146588263,infrastructure_85,fGeo,0.66,260,True,True,True,8.55714615,58,0.75,21.06997658,8.55714615,,,,,,,,,,
arOrch,146588263,infrastructure_85,fDCC,1.0,18,True,True,True,15.5334328,58,0.75,30.47124023,15.5334328,,,,,,,,,,
arOrch,146588263,infrastructure_85,fCheckDCC,1.0,54,True,True,True,28.40399141,19,0.75,51.12918017,28.40399141,,,,,,,,,,
arOrch,146588263,infrastructure_85,fRules,1.0,104,True,True,True,33.2733068,27,0.75,59.23825874,33.2733068,,,,,,,,,,
arOrch,146588263,infrastructure_85,fAR,1.0,8,True,True,True,59.30115805,8,0.75,80.97202516,59.30115805,,,,,,,,,,
arOrch,146588263,infrastructure_85,__global__,,,,,True,,,,,,1.5,0.25,190.21603295,218.00994019,30.28137602,394.39112147,0.0,591.679,0.33,1.0
arOrch,146588263,infrastructure_90,fLogin,1.0,24,True,True,True,24.5574795,55,0.75,36.31341379,24.5574795,,,,,,,,,,
arOrch,146588263,infrastructure_90,fCrop,0.66,16,True,True,True,29.50677809,16,0.75,72.45945222,29.50677809,,,,,,,,,,
arOrch,146588263,infrastructure_90,fGeo,0.66,131,True,True,True,8.55714615,55,0.75,27.36060963,8.55714615,,,,,,,,,,
arOrch,146588263,infrastructure_90,fDCC,1.0,6,True,True,True,20.98417438,55,0.75,34.62316932,20.98417438,,,,,,,,,,
arOrch,146588263,infrastructure_90,fCheckDCC,1.0,30,True,True,True,38.37106172,9,0.75,56.73970904,38.37106172,,,,,,,,,,
arOrch,146588263,infrastructure_90,fRules,1.0,88,True,True,True,20.66870065,25,0.75,62.37762892,20.66870065,,,,,,,,,,
arOrch,146588263,infrastructure_90,fAR,1.0,16,True,True,True,32.07114344,16,0.75,72.45945222,32.07114344,,,,,,,,,,
arOrch,146588263,infrastructure_90,__global__,,,,,True,,,,,,1.5,0.25,145.19660275,184.5911436,28.45969485,505.89029291,0.0,591.006,0.33,1.0
arOrch,146588263,infrastructure_95,fLogin,1.0,42,True,True,True,17.12475996,59,0.75,35.45667795,17.12475996,,,,,,,,,,
arOrch,146588263,infrastructure_95,fCrop,0.66,12,True,True,True,33.00677809,12,0.75,74.61701522,33.00677809,,,,,,,,,,
arOrch,146588263,infrastructure_95,fGeo,0.66,266,True,True,True,8.32631233,59,0.75,23.76166112,8.32631233,,,,,,,,,,
arOrch,146588263,infrastructure_95,fDCC,1.0,14,True,True,True,17.12475996,59,0.75,33.74378002,17.12475996,,,,,,,,,,
arOrch,146588263,infrastructure_95,fCheckDCC,1.0,56,True,True,True,35.02799947,16,0.75,55.4010593,35.02799947,,,,,,,,,,
arOrch,146588263,infrastructure_95,fRules,1.0,104,True,True,True,20.66870065,28,0.75,60.93449021,20.66870065,,,,,,,,,,
arOrch,146588263,infrastructure_95,fAR,1.0,12,True,True,True,35.57114344,12,0.75,74.61701522,35.57114344,,,,,,,,,,
arOrch,146588263,infrastructure_95,__global__,,,,,True,,,,,,1.5,0.25,139.00210384,179.34255895,25.33208822,436.44781667,0.0,594.974,0.33,1.0
arOrch,146588263,infrastructure_100,fLogin,1.0,28,True,True,True,17.12475996,67,0.75,36.31341379,17.12475996,,,,,,,,,,
arOrch,146588263,infrastructure_100,fCrop,0.66,15,True,True,True,32.07114344,15,0.75,82.64706635,32.07114344,,,,,,,,,,
arOrch,146588263,infrastructure_100,fGeo,0.66,159,True,True,True,8.32631233,67,0.75,18.81728408,8.32631233,,,,,,,,,,
arOrch,146588263,infrastructure_100,fDCC,1.0,14,True,True,True,15.5334328,67,0.75,36.10504904,15.5334328,,,,,,,,,,
arOrch,146588263,infrastructure_100,fCheckDCC,1.0,56,True,True,True,28.40399141,15,0.75,56.73970904,28.40399141,,,,,,,,,,
arOrch,146588263,infrastructure_100,fRules,1.0,116,True,True,True,26.06007922,30,0.75,63.65858541,26.06007922,,,,,,,,,,
arOrch,146588263,infrastructure_100,fAR,1.0,15,True,True,True,40.84955868,15,0.75,82.64706635,40.84955868,,,,,,,,,,
arOrch,146588263,infrastructure_100,__global__,,,,,True,,,,,,1.5,0.25,141.13724253,185.0351886,30.6895045,370.91334466,0.0,599.135,0.33,1.0
arOrch,146588263,infrastructure_105,fLogin,1.0,47,True,True,True,21.49712803,72,0.75,35.10829682,21.49712803,,,,,,,,,,
arOrch,146588263,infrastructure_105,fCrop,0.66,13,True,True,True,29.50677809,13,0.75,79.21812849,29.50677809,,,,,,,,,,
arOrch,146588263,infrastructure_105,fGeo,0.66,141,True,True,True,8.32631233,72,0.75,22.37250717,8.32631233,,,,,,,,,,
arOrch,146588263,infrastructure_105,fDCC,1.0,16,True,True,True,18.36912795,72,0.75,31.63051362,18.36912795,,,,,,,,,,
arOrch,146588263,infrastructure_105,fCheckDCC,1.0,48,True,True,True,33.58926254,18,0.75,54.58454104,33.58926254,,,,,,,,,,
arOrch,146588263,infrastructure_105,fRules,1.0,116,True,True,True,16.58914449,31,0.75,61.10141432,16.58914449,,,,,,,,,,
arOrch,146588263,infrastructure_105,fAR,1.0,13,True,True,True,35.57114344,13,0.75,79.21812849,35.57114344,,,,,,,,,,
arOrch,146588263,infrastructure_105,__global__,,,,,True,,,,,,1.5,0.25,138.35969335,180.11740808,25.85721503,471.54142753,0.0,596.747,0.33,1.0
arOrch,146588263,infrastructure_110,fLogin,1.0,45,True,True,True,24.5574795,72,0.75,34.7599157,24.5574795,,,,,,,,,,
arOrch,146588263,infrastructure_110,fCrop,0.66,17,True,True,True,32.07114344,17,0.75,72.42932384,32.07114344,,,,,,,,,,
arOrch,146588263,infrastructure_110,fGeo,0.66,310,True,True,True,8.29558335,72,0.75,22.36901632,8.29558335,,,,,,,,,,
arOrch,146588263,infrastructure_110,fDCC,1.0,15,True,True,True,20.98417438,72,0.75,32.0689448,20.98417438,,,,,,,,,,
arOrch,146588263,infrastructure_110,fCheckDCC,1.0,45,True,True,True,38.37106172,17,0.75,54.31236828,38.37106172,,,,,,,,,,
arOrch,146588263,infrastructure_110,fRules,1.0,128,True,True,True,20.66870065,34,0.75,60.03988196,20.66870065,,,,,,,,,,
arOrch,146588263,infrastructure_110,fAR,1.0,17,True,True,True,34.24951991,17,0.75,72.42932384,34.24951991,,,,,,,,,,
arOrch,146588263,infrastructure_110,__global__,,,,,True,,,,,,1.5,0.25,149.67778176,185.06649873,28.35251467,512.32861937,0.0,596.747,0.33,1.0
arOrch,146588263,infrastructure_115,fLogin,1.0,60,True,True,True,18.92881454,76,0.75,34.06275792,18.92881454,,,,,,,,,,
arOrch,146588263,infrastructure_115,fCrop,0.66,18,True,True,True,45.33506566,18,0.75,78.1467828,45.33506566,,,,,,,,,,
arOrch,146588263,infrastructure_115,fGeo,0.66,163,True,True,True,8.29558335,76,0.75,17.46963448,8.29558335,,,,,,,,,,
arOrch,146588263,infrastructure_115,fDCC,1.0,15,True,True,True,16.17452414,76,0.75,32.19165595,16.17452414,,,,,,,,,,
arOrch,146588263,infrastructure_115,fCheckDCC,1.0,75,True,True,True,29.57627271,17,0.75,53.22305925,29.57627271,,,,,,,,,,
arOrch,146588263,infrastructure_115,fRules,1.0,132,True,True,True,25.40350738,35,0.75,59.87594166,25.40350738,,,,,,,,,,
arOrch,146588263,infrastructure_115,fAR,1.0,18,True,True,True,54.80974439,18,0.75,78.1467828,54.80974439,,,,,,,,,,
arOrch,146588263,infrastructure_115,__global__,,,,,True,,,,,,1.5,0.25,171.03362212,202.41699519,27.97948249,407.35847534,0.0,593.636,0.33,1.0
arOrch,146588263,infrastructure_120,fLogin,1.0,60,True,True,True,19.07400682,86,0.75,36.80265125,19.07400682,,,,,,,,,,
arOrch,146588263,infrastructure_120,fCrop,0.66,16,True,True,True,29.50677809,16,0.75,71.11701522,29.50677809,,,,,,,,,,
arOrch,146588263,infrastructure_120,fGeo,0.66,353,True,True,True,8.29558335,86,0.75,21.06997658,8.29558335,,,,,,,,,,
arOrch,146588263,infrastructure_120,fDCC,1.0,20,True,True,True,16.29858981,86,0.75,35.39445079,16.29858981,,,,,,,,,,
arOrch,146588263,infrastructure_120,fCheckDCC,1.0,60,True,True,True,29.80313566,23,0.75,57.50414257,29.80313566,,,,,,,,,,
arOrch,146588263,infrastructure_120,fRules,1.0,144,True,True,True,15.63185014,39,0.75,61.29527489,15.63185014,,,,,,,,,,
arOrch,146588263,infrastructure_120,fAR,1.0,16,True,True,True,34.24951991,16,0.75,71.11701522,34.24951991,,,,,,,,,,
arOrch,146588263,infrastructure_120,__global__,,,,,True,,,,,,1.5,0.25,130.14197088,171.33168261,26.21697983,537.56460057,0.0,598.381,0.33,1.0
arOrch,146588263,infrastructure_125,fLogin,1.0,75,True,True,True,16.28370306,97,0.75,31.9393442,16.28370306,,,,,,,,,,
arOrch,146588263,infrastructure_125,fCrop,0.66,9,True,True,True,34.24951991,9,0.75,75.92932384,34.24951991,,,,,,,,,,
arOrch,146588263,infrastructure_125,fGeo,0.66,282,True,True,True,8.29558335,97,0.75,21.47516169,8.29558335,,,,,,,,,,
arOrch,146588263,infrastructure_125,fDCC,1.0,25,True,True,True,15.5334328,97,0.75,29.70207641,15.5334328,,,,,,,,,,
arOrch,146588263,infrastructure_125,fCheckDCC,1.0,100,True,True,True,28.40399141,28,0.75,49.90522531,28.40399141,,,,,,,,,,
arOrch,146588263,infrastructure_125,fRules,1.0,102,True,True,True,26.06007922,37,0.75,56.14337848,26.06007922,,,,,,,,,,
arOrch,146588263,infrastructure_125,fAR,1.0,9,True,True,True,54.30709235,9,0.75,75.92932384,54.30709235,,,,,,,,,,
arOrch,146588263,infrastructure_125,__global__,,,,,True,,,,,,1.5,0.25,155.90136678,188.92590806,30.99255235,485.124557,0.0,595.468,0.33,1.0
arOrch,146588263,infrastructure_130,fLogin,1.0,42,True,True,True,16.03557172,91,0.75,31.9393442,16.03557172,,,,,,,,,,
arOrch,146588263,infrastructure_130,fCrop,0.66,17,True,True,True,34.24951991,17,0.75,89.35677784,34.24951991,,,,,,,,,,
arOrch,146588263,infrastructure_130,fGeo,0.66,302,True,True,True,8.29558335,91,0.75,20.2997159,8.29558335,,,,,,,,,,
arOrch,146588263,infrastructure_130,fDCC,1.0,21,True,True,True,15.5334328,91,0.75,27.29192009,15.5334328,,,,,,,,,,
arOrch,146588263,infrastructure_130,fCheckDCC,1.0,63,True,True,True,28.40399141,24,0.75,49.90522531,28.40399141,,,,,,,,,,
arOrch,146588263,infrastructure_130,fRules,1.0,114,True,True,True,33.52852761,41,0.75,62.37762892,33.52852761,,,,,,,,,,
arOrch,146588263,infrastructure_130,fAR,1.0,17,True,True,True,41.83506566,17,0.75,89.35677784,41.83506566,,,,,,,,,,
arOrch,146588263,infrastructure_130,__global__,,,,,True,,,,,,1.5,0.25,146.91543295,188.78306546,31.55633358,446.41241505,0.0,597.11,0.33,1.0
arOrch,146588263,infrastructure_135,fLogin,1.0,64,True,True,True,14.75338905,84,0.75,33.23581536,14.75338905,,,,,,,,,,
arOrch,146588263,infrastructure_135,fCrop,0.66,17,True,True,True,32.07114344,17,0.75,74.47188002,32.07114344,,,,,,,,,,
arOrch,146588263,infrastructure_135,fGeo,0.66,315,True,True,True,8.32631233,84,0.75,17.46963448,8.32631233,,,,,,,,,,
arOrch,146588263,infrastructure_135,fDCC,1.0,16,True,True,True,14.75338905,84,0.75,28.78637544,14.75338905,,,,,,,,,,
arOrch,146588263,infrastructure_135,fCheckDCC,1.0,64,True,True,True,25.44328603,19,0.75,51.9309615,25.44328603,,,,,,,,,,
arOrch,146588263,infrastructure_135,fRules,1.0,99,True,True,True,24.08631345,36,0.75,57.52930414,24.08631345,,,,,,,,,,
arOrch,146588263,infrastructure_135,fAR,1.0,17,True,True,True,37.74951991,17,0.75,74.47188002,37.74951991,,,,,,,,,,
arOrch,146588263,infrastructure_135,__global__,,,,,True,,,,,,1.5,0.25,132.41855352,170.10534468,24.58327751,524.72077847,0.0,596.756,0.33,1.0
arOrch,146588263,infrastructure_140,fLogin,1.0,63,True,True,True,16.03557172,88,0.75,36.21466192,16.03557172,,,,,,,,,,
arOrch,146588263,infrastructure_140,fCrop,0.66,19,True,True,True,32.56740612,19,0.75,73.3250584,32.56740612,,,,,,,,,,
arOrch,146588263,infrastructure_140,fGeo,0.66,262,True,True,True,8.29558335,88,0.75,20.7080618,8.29558335,,,,,,,,,,
arOrch,146588263,infrastructure_140,fDCC,1.0,21,True,True,True,16.03557172,88,0.75,31.479578,16.03557172,,,,,,,,,,
arOrch,146588263,infrastructure_140,fCheckDCC,1.0,105,True,True,True,33.58926254,24,0.75,56.58540925,33.58926254,,,,,,,,,,
arOrch,146588263,infrastructure_140,fRules,1.0,120,True,True,True,16.58914449,43,0.75,62.50518915,16.58914449,,,,,,,,,,
arOrch,146588263,infrastructure_140,fAR,1.0,19,True,True,True,33.00677809,19,0.75,73.3250584,33.00677809,,,,,,,,,,
arOrch,146588263,infrastructure_140,__global__,,,,,True,,,,,,1.5,0.25,131.03011452,171.92201532,24.71503527,507.52276408,0.0,598.998,0.33,1.0
arOrch,146588263,infrastructure_145,fLogin,1.0,54,True,True,True,16.28370306,90,0.75,38.27036362,16.28370306,,,,,,,,,,
arOrch,146588263,infrastructure_145,fCrop,0.66,25,True,True,True,32.07114344,25,0.75,71.62551584,32.07114344,,,,,,,,,,
arOrch,146588263,infrastructure_145,fGeo,0.66,284,True,True,True,8.46040774,90,0.75,25.1836624,8.46040774,,,,,,,,,,
arOrch,146588263,infrastructure_145,fDCC,1.0,18,True,True,True,16.28370306,90,0.75,37.79313894,16.28370306,,,,,,,,,,
arOrch,146588263,infrastructure_145,fCheckDCC,1.0,72,True,True,True,32.68364504,21,0.75,59.79744316,32.68364504,,,,,,,,,,
arOrch,146588263,infrastructure_145,fRules,1.0,129,True,True,True,24.08631345,46,0.75,63.78448646,24.08631345,,,,,,,,,,
arOrch,146588263,infrastructure_145,fAR,1.0,25,True,True,True,33.00677809,25,0.75,71.62551584,33.00677809,,,,,,,,,,
arOrch,146588263,infrastructure_145,__global__,,,,,True,,,,,,1.5,0.25,134.49071464,177.44032634,24.9002162,513.02361045,0.0,595.61,0.33,1.0
arOrch,146588263,infrastructure_150,fLogin,1.0,46,True,True,True,22.58255992,106,0.75,34.34254936,22.58255992,,,,,,,,,,
arOrch,146588263,infrastructure_150,fCrop,0.66,22,True,True,True,29.50677809,22,0.75,70.22975704,29.50677809,,,,,,,,,,
arOrch,146588263,infrastructure_150,fGeo,0.66,457,True,True,True,8.29558335,106,0.75,21.06997658,8.29558335,,,,,,,,,,
arOrch,146588263,infrastructure_150,fDCC,1.0,23,True,True,True,20.98417438,106,0.75,30.26431588,20.98417438,,,,,,,,,,
arOrch,146588263,infrastructure_150,fCheckDCC,1.0,69,True,True,True,36.23911528,24,0.75,53.8059581,36.23911528,,,,,,,,,,
arOrch,146588263,infrastructure_150,fRules,1.0,180,True,True,True,16.58914449,46,0.75,59.87594166,16.58914449,,,,,,,,,,
arOrch,146588263,infrastructure_150,fAR,1.0,22,True,True,True,32.07114344,22,0.75,70.22975704,32.07114344,,,,,,,,,,
arOrch,146588263,infrastructure_150,__global__,,,,,True,,,,,,1.5,0.25,139.85436907,175.63510324,26.25708498,417.85932756,0.0,592.586,0.33,1.0
arOrch,146588263,infrastructure_155,fLogin,1.0,84,True,True,True,14.75338905,111,0.75,34.54895785,14.75338905,,,,,,,,,,
arOrch,146588263,infrastructure_155,fCrop,0.66,15,True,True,True,36.06740612,15,0.75,74.76215042,36.06740612,,,,,,,,,,
arOrch,146588263,infrastructure_155,fGeo,0.66,457,True,True,True,8.29558335,111,0.75,21.01125539,8.29558335,,,,,,,,,,
arOrch,146588263,infrastructure_155,fDCC,1.0,28,True,True,True,14.75338905,111,0.75,29.52181458,14.75338905,,,,,,,,,,
arOrch,146588263,infrastructure_155,fCheckDCC,1.0,140,True,True,True,29.57627271,34,0.75,53.98274665,29.57627271,,,,,,,,,,
arOrch,146588263,infrastructure_155,fRules,1.0,172,True,True,True,24.34667027,49,0.75,61.10141432,24.34667027,,,,,,,,,,
arOrch,146588263,infrastructure_155,fAR,1.0,15,True,True,True,46.38606756,15,0.75,74.76215042,46.38606756,,,,,,,,,,
arOrch,146588263,infrastructure_155,__global__,,,,,True,,,,,,1.5,0.25,147.21730662,183.45008225,24.48824428,513.02361045,0.0,598.285,0.33,1.0
arOrch,146588263,infrastructure_160,fLogin,1.0,87,True,True,True,19.07400682,110,0.75,34.66495443,19.07400682,,,,,,,,,,
arOrch,146588263,infrastructure_160,fCrop,0.66,21,True,True,True,32.07114344,21,0.75,82.71812849,32.07114344,,,,,,,,,,
arOrch,146588263,infrastructure_160,fGeo,0.66,277,True,True,True,8.32631233,110,0.75,20.7080618,8.32631233,,,,,,,,,,
arOrch,146588263,infrastructure_160,fDCC,1.0,29,True,True,True,16.29858981,110,0.75,31.23426475,16.29858981,,,,,,,,,,
arOrch,146588263,infrastructure_160,fCheckDCC,1.0,116,True,True,True,29.80313566,29,0.75,54.1639913,29.80313566,,,,,,,,,,
arOrch,146588263,infrastructure_160,fRules,1.0,200,True,True,True,21.386039,50,0.75,60.93449021,21.386039,,,,,,,,,,
arOrch,146588263,infrastructure_160,fAR,1.0,21,True,True,True,33.00677809,21,0.75,82.71812849,33.00677809,,,,,,,,,,
arOrch,146588263,infrastructure_160,__global__,,,,,True,,,,,,1.5,0.25,134.37141782,178.17675804,24.79189764,390.79235404,0.0,596.819,0.33,1.0
arOrch,146588263,infrastructure_165,fLogin,1.0,54,True,True,True,17.12475996,117,0.75,33.46881948,17.12475996,,,,,,,,,,
arOrch,146588263,infrastructure_165,fCrop,0.66,19,True,True,True,56.13406753,19,0.75,90.76776294,56.13406753,,,,,,,,,,
arOrch,146588263,infrastructure_165,fGeo,0.66,424,True,True,True,8.36623361,117,0.75,17.52363142,8.36623361,,,,,,,,,,
arOrch,146588263,infrastructure_165,fDCC,1.0,27,True,True,True,16.29858981,117,0.75,29.60058989,16.29858981,,,,,,,,,,
arOrch,146588263,infrastructure_165,fCheckDCC,1.0,108,True,True,True,29.80313566,31,0.75,53.22305925,29.80313566,,,,,,,,,,
arOrch,146588263,infrastructure_165,fRules,1.0,184,True,True,True,29.37100829,50,0.75,61.98154183,29.37100829,,,,,,,,,,
arOrch,146588263,infrastructure_165,fAR,1.0,19,True,True,True,56.7846648,19,0.75,90.76776294,56.7846648,,,,,,,,,,
arOrch,146588263,infrastructure_165,__global__,,,,,True,,,,,,1.5,0.25,184.29538769,218.15425757,28.61578969,494.25603924,0.0,594.252,0.33,1.0
arOrch,146588263,infrastructure_170,fLogin,1.0,116,True,True,True,14.75338905,129,0.75,35.48594001,14.75338905,,,,,,,,,,
arOrch,146588263,infrastructure_170,fCrop,0.66,17,True,True,True,45.33506566,17,0.75,79.17823679,45.33506566,,,,,,,,,,
arOrch,146588263,infrastructure_170,fGeo,0.66,320,True,True,True,8.29558335,129,0.75,20.2997159,8.29558335,,,,,,,,,,
arOrch,146588263,infrastructure_170,fDCC,1.0,29,True,True,True,14.75338905,129,0.75,30.81976552,14.75338905,,,,,,,,,,
